ts,SNR_downstream,SNR_upstream,Power_downstream,Power_upstream,Packets_Downstream,Packets_Upstream,Total_Usage_Downstream,Total_Usage_Upstream,dslDownstreamElement,dslUpstreamElement,dslLineStatusElement,LinkTrainErrors,RS_FEC,CRC_Errors
1586713519097,10.3,8.5,16.9,8.6,47770,24521,475.615,29.162,23.103,0.895,GOOD,1,331,0
1586714418799,10.3,8.4,16.9,8.6,80778,46330,805.77,46.372,23.103,0.895,GOOD,1,893,0
1586715321058,10.3,8.3,16.9,8.6,153647,75193,1592.121,76.125,23.103,0.895,GOOD,1,1332,0
1586716219264,10.3,8.4,16.9,8.6,203270,93556,2136.278,96.844,23.103,0.895,GOOD,1,2026,0
1586718020810,10.3,8.5,16.9,8.6,332156,139295,3560.481,147.981,23.103,0.895,GOOD,1,3684,0
1586719819501,10.3,8.3,16.9,8.6,478015,187173,5167.624,203.924,23.103,0.895,GOOD,1,5084,0
1586721621204,10.3,8.4,16.9,8.6,630011,245189,6848.456,265.226,23.103,0.895,GOOD,1,7219,0
1586723419703,10.3,8.4,16.9,8.6,757894,289638,8285.997,312.107,23.103,0.895,GOOD,1,9644,0
1586725219457,10.3,8.5,17.0,8.6,872379,344616,9378.866,381.628,23.103,0.895,GOOD,1,10353,0
1586727021132,10.3,8.4,17.0,8.6,1004873,435680,10536.563,488.239,23.103,0.895,GOOD,1,12634,0
1586728820957,10.3,8.3,17.0,8.6,1098520,495642,11421.519,569.902,23.103,0.895,GOOD,1,14348,0
1586730620270,10.4,8.4,17.0,8.6,1416206,645160,14859.315,692.162,23.103,0.895,GOOD,1,16257,0
1586732419378,10.3,8.5,17.0,8.6,1892856,901153,20357.074,876.378,23.103,0.895,GOOD,1,18059,0
1586734219061,10.4,8.5,17.0,8.6,2349472,1150770,25682.171,1038.544,23.103,0.895,GOOD,1,20225,0
1586736018968,10.3,8.5,17.0,8.6,2493662,1220902,27117.789,1115.336,23.103,0.895,GOOD,1,20785,0
1586737823581,10.3,8.5,17.0,8.6,2885368,1331426,31507.399,1229.427,23.103,0.895,GOOD,1,22257,0
1586739621123,10.3,8.5,17.0,8.6,3587038,1498742,39377.434,1413.161,23.103,0.895,GOOD,1,22807,0
1586743220307,10.3,8.6,17.0,8.6,4799957,1788948,53289.341,1679.86,23.103,0.895,GOOD,1,25335,0
1586745020100,10.3,8.6,17.0,8.6,5409883,1980123,59907.772,1920.996,23.103,0.895,GOOD,1,29450,0
1586746819320,10.1,8.6,17.0,8.6,5478488,2005164,60609.0,1961.474,23.103,0.895,GOOD,1,31120,0
1586748619498,10.0,8.6,17.0,8.6,5567759,2070325,61337.075,2072.497,23.103,0.895,GOOD,1,33013,0
1586750420357,10.1,8.4,17.0,8.3,5575262,2077971,61366.469,2087.946,23.103,0.895,GOOD,1,34682,0
1586752220112,10.1,8.4,17.0,8.3,5578149,2081014,61375.836,2092.594,23.103,0.895,GOOD,1,35900,0
1586754021446,10.1,8.4,17.0,8.3,5582793,2084663,61409.032,2098.962,23.103,0.895,GOOD,1,37589,0
1586755819738,10.1,8.4,17.0,8.3,5588221,2089895,61435.514,2109.715,23.103,0.895,GOOD,1,39139,0
1586757620724,10.1,8.4,17.0,8.3,5592010,2093884,61450.272,2116.446,23.103,0.895,GOOD,1,41239,0
1586759420067,10.1,8.4,17.0,8.3,5595575,2097573,61461.754,2126.103,23.103,0.895,GOOD,1,42547,0
1586761219419,10.1,8.4,17.0,8.3,5607813,2105961,61578.463,2139.638,23.103,0.895,GOOD,1,43907,0
1586763020571,10.1,8.3,17.0,8.3,5610665,2108884,61590.141,2144.323,23.103,0.895,GOOD,1,46017,0
1586764820087,10.1,8.4,17.0,8.3,5613284,2111535,61599.562,2148.865,23.103,0.895,GOOD,1,47756,0
1586766621253,10.2,8.4,17.0,8.3,5616761,2115138,61616.136,2154.08,23.103,0.895,GOOD,1,52204,0
1586768422232,10.1,8.5,17.1,8.3,5620934,2119125,61634.667,2161.001,23.103,0.895,GOOD,1,53378,0
1586770224881,10.4,8.4,17.0,8.3,5623794,2122155,61646.304,2165.603,23.103,0.895,GOOD,1,54610,0
1586772025728,10.4,8.4,17.0,8.3,5626517,2124865,61656.068,2169.935,23.103,0.895,GOOD,1,56524,0
1586773828117,10.5,8.4,17.0,8.3,5628939,2127609,61662.024,2178.363,23.103,0.895,GOOD,1,58052,0
1586775628207,10.4,8.5,16.9,8.3,5633087,2131646,61682.322,2186.77,23.103,0.895,GOOD,1,59181,0
1586777429202,10.4,8.4,16.9,8.3,5637419,2136064,61700.526,2194.581,23.103,0.895,GOOD,1,60931,0
1586779232842,10.4,8.4,17.0,8.3,5640192,2138909,61712.101,2198.765,23.103,0.895,GOOD,1,63225,0
1586781041524,10.4,8.4,17.0,8.3,5643457,2142254,61724.879,2204.382,23.103,0.895,GOOD,1,65200,0
1586782860045,10.5,8.5,17.0,8.3,5682744,2165933,62116.071,2226.935,23.103,0.895,GOOD,1,66417,0
1586811625370,10.3,8.3,17.0,8.3,6767377,3012850,70810.616,3386.739,23.103,0.895,GOOD,1,101792,0
1586813421909,10.3,8.1,17.0,8.3,6789833,3036608,70887.466,3445.925,23.103,0.895,GOOD,1,102691,0
1586815225925,10.4,8.3,17.0,8.3,7515176,3157866,79292.891,3556.721,23.103,0.895,GOOD,1,104095,0
1586817019258,10.4,8.3,17.0,8.3,8140909,3247913,86624.435,3618.984,23.103,0.895,GOOD,1,105569,0
1586818819965,10.4,8.3,17.0,8.3,8417761,3309203,89742.794,3687.934,23.103,0.895,GOOD,1,107623,0
1586820619370,10.3,8.3,17.1,8.3,8500310,3344533,90642.885,3719.475,23.103,0.895,GOOD,1,109014,0
1586822420031,10.1,8.3,17.0,8.3,8972749,3594167,96197.732,3866.337,23.103,0.895,GOOD,1,110815,0
1586824218841,10.1,8.4,17.0,8.3,9011735,3620525,96502.911,3908.716,23.103,0.895,GOOD,1,111500,0
1586826019309,10.0,8.4,17.0,8.3,9155428,3704758,97954.467,4026.071,23.103,0.895,GOOD,1,112142,0
1586827819900,9.9,8.4,17.0,8.3,9219570,3755593,98537.928,4073.434,23.103,0.895,GOOD,1,113463,0
1586829619929,10.0,8.4,17.0,8.3,9248432,3783811,98804.193,4092.706,23.103,0.895,GOOD,1,116173,0
1586831420140,9.9,8.4,17.1,8.3,9297138,3824398,99266.2,4132.353,23.103,0.895,GOOD,1,117788,0
1586833218975,9.8,8.4,17.0,8.3,9408998,3866201,100019.233,4177.596,23.103,0.895,GOOD,1,120158,0
